Twitter,State,Party,Type,Name,twitter_display_name
ScotttaylorVA,VA,Republican,Representative,Scott Taylor,Scott Taylor TEXT “Taylor” to 41411
SenatorLeahy,VT,Democrat,Senator,Patrick Leahy,Sen. Patrick Leahy
TeamReichert,WA,Republican,Representative,Dave Reichert,Team Reichert
SenShelby,AL,Republican,Senator,Richard Shelby,Richard Shelby
DougJones,AL,Democrat,Senator,Doug Jones,Doug Jones
RepByrne,AL,Republican,Representative,Bradley Byrne,Rep. Bradley Byrne
RepMarthaRoby,AL,Republican,Representative,Martha Roby,Rep. Martha Roby
RepMikeRogersAL,AL,Republican,Representative,Mike Rogers,Mike Rogers
Robert_Aderholt,AL,Republican,Representative,Robert Aderholt,Robert Aderholt
RepMoBrooks,AL,Republican,Representative,Mo Brooks,Mo Brooks
USRepGaryPalmer,AL,Republican,Representative,Gary Palmer,Gary Palmer
RepTerriSewell,AL,Democrat,Representative,Terri A. Sewell,Rep. Terri A. Sewell
SenDanSullivan,AK,Republican,Senator,Dan Sullivan,Sen. Dan Sullivan
lisamurkowski,AK,Republican,Senator,Lisa Murkowski,Sen. Lisa Murkowski
RepDonYoung,AK,Republican,Representative,Don Young,Rep. Don Young
RepAmata,AS,Republican,Representative,Amata Radewagen,Rep. Aumua Amata🇦🇸
SenMcSallyAZ,AZ,Republican,Senator,Martha McSally,Martha McSally
SenatorSinema,AZ,Democrat,Senator,Kyrsten Sinema,Kyrsten Sinema
TomOHalleran,AZ,Democrat,Representative,Tom O'Halleran,Tom O'Halleran
RepKirkPatrick,AZ,Democrat,Representative,Ann Kirkpatrick,Rep. Ann Kirkpatrick
RepRaulGrijalva,AZ,Democrat,Representative,Raul Grijalva,Raul M. Grijalva
RepGosar,AZ,Republican,Representative,Paul A. Gosar,"Rep. Paul Gosar, DDS"
AndyBiggs4AZ,AZ,Republican,Representative,Andy Biggs,Andy Biggs
RepDavid,AZ,Republican,Representative,David Schweikert,Rep. David Schweikert
RepRubenGallego,AZ,Democrat,Representative,Ruben Gallego,Ruben Gallego
RepDLesko,AZ,Republican,Representative,Debbie Lesko,Congresswoman Debbie Lesko
RepGregStanton,AZ,Democrat,Representative,Greg Stanton,Rep. Greg Stanton
SenTomCotton,AR,Republican,Senator,Tom Cotton,Tom Cotton
JohnBoozman,AR,Republican,Senator,John Boozman,Senator John Boozman
RepRickCrawford,AR,Republican,Representative,Rick Crawford,Rep Rick Crawford
RepFrenchHill,AR,Republican,Representative,French Hill,French Hill
rep_stevewomack,AR,Republican,Representative,Steve Womack,Rep. Steve Womack
RepWesterman,AR,Republican,Representative,Bruce Westerman,Rep. Bruce Westerman
SenFeinstein,CA,Democrat,Senator,Dianne Feinstein,Senator Dianne Feinstein
KamalaHarris,CA,Democrat,Senator,Kamala Harris,Kamala Harris
RepLaMalfa,CA,Republican,Representative,Doug LaMalfa,Rep. Doug LaMalfa
RepHuffman,CA,Democrat,Representative,Jared Huffman,Rep. Jared Huffman
RepGaramendi,CA,Democrat,Representative,John Garamendi,John Garamendi
RepMcClintock,CA,Republican,Representative,Tom McClintock,Tom McClintock
RepThompson,CA,Democrat,Representative,Mike Thompson,Mike (Wear A Mask) Thompson
DorisMatsui,CA,Democrat,Representative,Doris O. Matsui,Rep. Doris Matsui
RepBera,CA,Democrat,Representative,Ami Bera,"Ami Bera, M.D."
RepPaulCook,CA,Republican,Representative,Paul Cook,Rep. Paul Cook
RepMcNerney,CA,Democrat,Representative,Jerry McNerney,Jerry McNerney
RepJoshHarder,CA,Democrat,Representative,Josh Harder,Rep. Josh Harder
RepDeSaulnier,CA,Democrat,Representative,Mark DeSaulnier,Mark DeSaulnier
SpeakerPelosi,CA,Democrat,Representative,Nancy Pelosi,Nancy Pelosi
