Twitter,State,Party,Type,Name,twitter_display_name
RepTrentKelly,MS,Republican,Representative,Trent Kelly,Trent Kelly
BennieGThompson,MS,Democrat,Representative,Bennie G. Thompson,Bennie G. Thompson
RepMichaelGuest,MS,Republican,Representative,Michael Guest,Congressman Michael Guest
CongPalazzo,MS,Republican,Representative,Steven Palazzo,Cong. Steven Palazzo
HawleyMO,MO,Republican,Senator,Josh Hawley,Josh Hawley
RoyBlunt,MO,Republican,Senator,Roy Blunt,Senator Roy Blunt
LacyClayMO1,MO,Democrat,Representative,William “Lacy” Clay Jr.,Lacy Clay MO1st
RepAnnWagner,MO,Republican,Representative,Ann Wagner,Ann Wagner
RepBlaine,MO,Republican,Representative,Blaine Luetkemeyer,Blaine Luetkemeyer
RepHartzler,MO,Republican,Representative,Vicky Hartzler,Rep. Vicky Hartzler
repcleaver,MO,Democrat,Representative,Emanuel Cleaver,Rep. Emanuel Cleaver
RepSamGraves,MO,Republican,Representative,Sam Graves,Rep. Sam Graves
USRepLong,MO,Republican,Representative,Billy Long,U.S. Rep. Billy Long
RepJasonSmith,MO,Republican,Representative,Jason Smith,Rep. Jason Smith
SenatorTester,MT,Democrat,Senator,Jon Tester,Senator Jon Tester
SteveDaines,MT,Republican,Senator,Steve Daines,Steve Daines
GregForMontana,MT,Republican,Representative,Greg Gianforte,Greg Gianforte
SenSasse,NE,Republican,Senator,Ben Sasse,Senator Ben Sasse
SenatorFischer,NE,Republican,Senator,Deb Fischer,Senator Deb Fischer
JeffFortenberry,NE,Republican,Representative,Jeff Fortenberry,Jeff Fortenberry
RepDonBacon,NE,Republican,Representative,Don Bacon,Rep. Don Bacon
RepAdrianSmith,NE,Republican,Representative,Adrian Smith,Rep. Adrian Smith
SenJackyRosen,NV,Democrat,Senator,Jacky Rosen,Senator Jacky Rosen
CatherineForNV,NV,Democrat,Senator,Catherine Cortez Mastro,CatherineCortezMasto
repdinatitus,NV,Democrat,Representative,Dina Titus,Dina Titus
MarkAmodeiNV2,NV,Republican,Representative,Mark Amodei,RepMarkAmodei
RepSusieLee,NV,Democrat,Representative,Susie Lee,Rep. Susie Lee
RepHorsford,NV,Democrat,Representative,Steven Horsford,Rep. Steven Horsford
SenatorShaheen,NH,Democrat,Senator,Jeanne Shaheen,Sen. Jeanne Shaheen
Maggie_Hassan,NH,Democrat,Senator,Maggie Hassan,Maggie for NH
RepChrisPappas,NH,Democrat,Representative,Chris Pappas,Rep. Chris Pappas
RepAnnieKuster,NH,Democrat,Representative,Ann Kuster,Ann McLane Kuster
SenatorMenendez,NJ,Democrat,Senator,Robert Menendez,Senator Bob Menendez
CoryBooker,NJ,Democrat,Senator,Cory Booker,Cory Booker
DonNorcross4NJ,NJ,Democrat,Representative,Donald Norcross,Donald Norcross
JeffVanDrew,NJ,Democrat,Representative,Jefferson Van Drew,Sen. Jeff Van Drew
RepAndyKimNJ,NJ,Democrat,Representative,Andy Kim,RepAndyKim
RepChrisSmith,NJ,Republican,Representative,Chris Smith,Rep. Chris Smith
JoshGottheimer,NJ,Democrat,Representative,Josh Gottheimer,Josh Gottheimer
FrankPallone,NJ,Democrat,Representative,Frank Pallone Jr.,Rep. Frank Pallone
RepMalinowski,NJ,Democrat,Representative,Tom Malinowski,Rep. Tom Malinowski
RepSires,NJ,Democrat,Representative,Albio Sires,Albio Sires
BillPascrell,NJ,Democrat,Representative,Bill Pascrell Jr.,"Bill Pascrell, Jr."
RepDonaldPayne,NJ,Democrat,Representative,Donald Payne Jr.,Rep. Donald Payne Jr
RepSherrill,NJ,Democrat,Representative,Mikie Sherrill,Rep. Mikie Sherrill
RepBonnie,NJ,Democrat,Representative,Bonnie Watson Coleman,Rep. Bonnie Watson Coleman
SenatorTomUdall,NM,Democrat,Senator,Tom Udall,Tom Udall
MartinHeinrich,NM,Democrat,Senator,Martin Heinrich,Martin Heinrich
RepDebHaaland,NM,Democrat,Representative,Debra Haaland,Rep. Deb Haaland
RepTorresSmall,NM,Democrat,Representative,Xochiti Torres Small,Rep. Xochitl Torres Small
repbenraylujan,NM,Democrat,Representative,Ben R. Lujan,Ben Ray Luján
SenSchumer,NY,Democrat,Senator,Chuck Schumer,Chuck Schumer
SenGillibrand,NY,Democrat,Senator,Kirsten Gillibrand,Kirsten Gillibrand
RepLeeZeldin,NY,Republican,Representative,Lee Zeldin,Lee Zeldin
RepPeteKing,NY,Republican,Representative,Pete King,Rep. Pete King
Tom_Suozzi,NY,Democrat,Representative,Tom Suozzi,Tom Suozzi
RepKathleenRice,NY,Democrat,Representative,Kathleen Rice,Kathleen Rice
RepGregoryMeeks,NY,Democrat,Representative,Gregory W. Meeks,Rep. Gregory Meeks
RepGraceMeng,NY,Democrat,Representative,Grace Meng,Grace Meng
NydiaVelazquez,NY,Democrat,Representative,Nydia M. Velázquez,Rep. Nydia Velazquez
RepJeffries,NY,Democrat,Representative,Hakeem Jeffries,Hakeem Jeffries
RepYvetteClarke,NY,Democrat,Representative,Yvette D. Clarke,Yvette D. Clarke
RepJerryNadler,NY,Democrat,Representative,Jerrold Nadler,Rep. Nadler
RepMaxRose,NY,Democrat,Representative,Max Rose,Rep. Max Rose
RepMaloney,NY,Democrat,Representative,Carolyn Maloney,Carolyn  B. Maloney
EspaillatNY,NY,Democrat,Representative,Adriano Espaillat,Adriano Espaillat
RepAOC,NY,Democrat,Representative,Alexandria Ocasio-Cortez,Rep. Alexandria Ocasio-Cortez
RepJoseSerrano,NY,Democrat,Representative,José E. Serrano,José E. Serrano
RepEliotEngel,NY,Democrat,Representative,Eliot Engel,Eliot Engel
NitaLowey,NY,Democrat,Representative,Nita Lowey,Nita Lowey
RepSeanMaloney,NY,Democrat,Representative,Sean Patrick Maloney,Sean Patrick Maloney
RepDelgado,NY,Democrat,Representative,Antonio Delgado,Congressman Antonio Delgado
RepPaulTonko,NY,Democrat,Representative,Paul D. Tonko,Paul Tonko ⚫️
RepStefanik,NY,Republican,Representative,Elise Stefanik,Rep. Elise Stefanik
RepBrindisi,NY,Democrat,Representative,Anthony Brindisi,Rep. Anthony Brindisi
RepTomReed,NY,Republican,Representative,Tom Reed,Tom Reed
RepJohnKatko,NY,Republican,Representative,John Katko,Rep. John Katko
RepJoeMorelle,NY,Democrat,Representative,Joseph Morelle,Joe Morelle
RepBrianHiggins,NY,Democrat,Representative,Brian Higgins,Brian Higgins
SenThomTillis,NC,Republican,Senator,Thom Tillis,Senator Thom Tillis
SenatorBurr,NC,Republican,Senator,Richard Burr,Richard Burr
GKButterfield,NC,Democrat,Representative,G.K. Butterfield,G. K. Butterfield
GeorgeHolding,NC,Republican,Representative,George Holding,George Holding
RepGregMurphy,NC,Republican,Representative,Greg Murphy,Greg Murphy
RepDavidEPrice,NC,Democrat,Representative,David Price,Rep. David E. Price
virginiafoxx,NC,Republican,Representative,Virginia Foxx,Virginia Foxx
RepMarkWalker,NC,Republican,Representative,Mark Walker,Rep. Mark Walker
RepDavidRouzer,NC,Republican,Representative,David Rouzer,David Rouzer
RepRichHudson,NC,Republican,Representative,Richard Hudson,Richard Hudson
jdanbishop,NC,Republican,Representative,Dan Bishop,Congressman Dan Bishop
PatrickMcHenry,NC,Republican,Representative,Patrick T. McHenry,Patrick McHenry
RepAdams,NC,Democrat,Representative,Alma Adams,Alma S. Adams
BuddforCongress,NC,Republican,Representative,Ted Budd,Ted Budd
SenJohnHoeven,ND,Republican,Senator,John Hoeven,Senator John Hoeven
SenKevinCramer,ND,Republican,Senator,Kevin Cramer,Sen. Kevin Cramer
RepArmstrongND,ND,Republican,Representative,Kelly Armstrong,Congressman Kelly Armstrong
Kilili_Sablan,MP,Democrat,Representative,Gregorio Sablan,Del. Kilili Sablan
senrobportman,OH,Republican,Senator,Rob Portman,Rob Portman
SenSherrodBrown,OH,Democrat,Senator,Sherrod Brown,Sherrod Brown
RepSteveChabot,OH,Republican,Representative,Steve Chabot,Rep. Steve Chabot
RepBradWenstrup,OH,Republican,Representative,Brad Wenstrup,Rep. Brad Wenstrup
RepBeatty,OH,Democrat,Representative,Joyce Beatty,Joyce Beatty
Jim_Jordan,OH,Republican,Representative,Jim Jordan,Rep. Jim Jordan
boblatta,OH,Republican,Representative,Robert E. Latta,U.S. Rep. Bob Latta
RepBillJohnson,OH,Republican,Representative,Bill Johnson,Bill Johnson
RepBobGibbs,OH,Republican,Representative,Bob Gibbs,Rep. Bob Gibbs
WarrenDavidson,OH,Republican,Representative,Warren Davidson,Warren Davidson
RepMarcyKaptur,OH,Democrat,Representative,Marcy Kaptur,Marcy Kaptur
RepMikeTurner,OH,Republican,Representative,Michael Turner,US Rep. Mike Turner
RepMarciaFudge,OH,Democrat,Representative,Marcia L. Fudge,Rep. Marcia L. Fudge
RepBalderson,OH,Republican,Representative,Troy Balderson,Congressman Troy Balderson
RepTimRyan,OH,Democrat,Representative,Tim Ryan,Congressman Tim Ryan
RepDaveJoyce,OH,Republican,Representative,David Joyce,Dave Joyce
RepSteveStivers,OH,Republican,Representative,Steve Stivers,Steve Stivers
RepAGonzalez,OH,Republican,Representative,Anthony Gonzalez,Rep. Anthony Gonzalez
SenatorLankford,OK,Republican,Senator,James Lankford,Sen. James Lankford
InhofePress,OK,Republican,Senator,Jim Inhofe,Inhofe Press Office
RepKevinHern,OK,Republican,Representative,Kevin Hern,Kevin Hern
RepMullin,OK,Republican,Representative,Markwayne Mullin,Markwayne Mullin
RepFrankLucas,OK,Republican,Representative,Frank Lucas,Frank Lucas
TomColeOK04,OK,Republican,Representative,Tom Cole,Rep. Tom Cole
RepKendraHorn,OK,Democrat,Representative,Kendra Horn,Congresswoman Kendra Horn
RonWyden,OR,Democrat,Senator,Ron Wyden,Ron Wyden
SenJeffMerkley,OR,Democrat,Senator,Jeff Merkley,Senator Jeff Merkley
RepBonamici,OR,Democrat,Representative,Suzanne Bonamici,Suzanne Bonamici
repgregwalden,OR,Republican,Representative,Greg Walden,Rep. Greg Walden
repblumenauer,OR,Democrat,Representative,Earl Blumenauer,Earl Blumenauer
RepPeterDeFazio,OR,Democrat,Representative,Peter DeFazio,Rep Peter DeFazio
RepSchrader,OR,Democrat,Representative,Kurt Schrader,Rep. Kurt Schrader
Jenniffer2012,PR,Republican,Representative,Jenniffer Gonzalez-Colon,Jenniffer González
SenToomey,PA,Republican,Senator,Patrick Toomey,Senator Pat Toomey
SenBobCasey,PA,Democrat,Senator,Bob Jr. Casey,Senator Bob Casey
RepBrianFitz,PA,Republican,Representative,Brady Fitzpatrick,Rep. Brian Fitzpatrick
CongBoyle,PA,Democrat,Representative,Brendan Boyle,Rep. Brendan Boyle
RepDwightEvans,PA,Democrat,Representative,Dwight Evans,Dwight Evans #CountEveryVote
RepDean,PA,Democrat,Representative,Madeleine Dean,Congresswoman Madeleine Dean
RepMGS,PA,Democrat,Representative,Mary-Gay Scanlon,Congresswoman Mary Gay Scanlon
RepHoulahan,PA,Democrat,Representative,Chrissy Houlahan,Chrissy Houlahan
RepSusanWild,PA,Democrat,Representative,Susan Wild,Rep. Susan Wild
RepCartwright,PA,Democrat,Representative,Matt Cartwright,Matt Cartwright
RepMeuser,PA,Republican,Representative,Daniel Meuser,Congressman Dan Meuser
RepScottPerry,PA,Republican,Representative,Scott Perry,RepScottPerry
RepJohnJoyce,PA,Republican,Representative,John Joyce,John Joyce
GReschenthaler,PA,Republican,Representative,Guy Reschenthaler,Rep. Guy Reschenthaler
CongressmanGT,PA,Republican,Representative,Glenn Thompson,Glenn 'GT' Thompson
MikeKellyforPA,PA,Republican,Representative,Mike Kelly,Mike Kelly for Congress
RepConorLamb,PA,Democrat,Representative,Conor Lamb,Conor Lamb
USRepMikeDoyle,PA,Democrat,Representative,Michael Doyle,Mike Doyle
SenWhitehouse,RI,Democrat,Senator,Sheldon Whitehouse,Sheldon Whitehouse
SenJackReed,RI,Democrat,Senator,Jack Reed,Senator Jack Reed
RepCicilline,RI,Democrat,Representative,David Cicilline,Cicilline Press Office
jimlangevin,RI,Democrat,Representative,Jim Langevin,Jim Langevin
SenatorTimScott,SC,Republican,Senator,Tim Scott,Tim Scott
LindseyGrahamSC,SC,Republican,Senator,Lindsey Graham,Lindsey Graham
RepCunningham,SC,Democrat,Representative,Joe Cunningham,Rep. Joe Cunningham
RepJoeWilson,SC,Republican,Representative,Joe Wilson,Joe Wilson
RepJeffDuncan,SC,Republican,Representative,Jeff Duncan,Rep. Jeff Duncan
RepTimmons,SC,Republican,Representative,William Timmons,Congressman William Timmons
RepRalphNorman,SC,Republican,Representative,Ralph Norman,Rep. Ralph Norman
WhipClyburn,SC,Democrat,Representative,James E. Clyburn,James E. Clyburn
RepTomRice,SC,Republican,Representative,Tom Rice,Congressman Tom Rice
SenJohnThune,SD,Republican,Senator,John Thune,Senator John Thune
SenatorRounds,SD,Republican,Senator,Mike Rounds,Senator Mike Rounds
RepDustyJohnson,SD,Republican,Representative,Dusty Johnson,Rep. Dusty Johnson
MarshaBlackburn,TN,Republican,Senator,Marsha Blackburn,Sen. Marsha Blackburn
SenAlexander,TN,Republican,Senator,Lamar Alexander,Sen. Lamar Alexander
DrPhilRoe,TN,Republican,Representative,Phil Roe,Dr. Phil Roe
RepTimBurchett,TN,Republican,Representative,Tim Burchett,Rep. Tim Burchett
RepChuck,TN,Republican,Representative,Chuck Fleischmann,Chuck Fleischmann
DesJarlaisTN04,TN,Republican,Representative,Scott DesJarlais,Scott DesJarlais
repjimcooper,TN,Democrat,Representative,Jim Cooper,Jim Cooper
RepJohnRose,TN,Republican,Representative,John W. Rose,John Rose
RepMarkGreen,TN,Republican,Representative,Mark Green,Rep. Mark Green
DavidKustoff,TN,Republican,Representative,David Kustoff,David Kustoff
RepCohen,TN,Democrat,Representative,Steve Cohen,Steve Cohen
SenTedCruz,TX,Republican,Senator,Ted Cruz,Senator Ted Cruz
JohnCornyn,TX,Republican,Senator,John Cornyn,Senator John Cornyn
replouiegohmert,TX,Republican,Representative,Louie Gohmert,Louie Gohmert
RepDanCrenshaw,TX,Republican,Representative,Dan Crenshaw,Rep. Dan Crenshaw
RepVanTaylor,TX,Republican,Representative,Van Taylor,Rep Van Taylor
Lancegooden,TX,Republican,Representative,Lance Gooden,Lance Gooden
RepRonWright,TX,Republican,Representative,Ron Wright,Ron Wright
RepFletcher,TX,Democrat,Representative,Lizzie Fletcher,Rep. Lizzie Fletcher
RepKevinBrady,TX,Republican,Representative,Kevin Brady,Rep. Kevin Brady
RepAlGreen,TX,Democrat,Representative,Al Green,Congressman Al Green
RepMcCaul,TX,Republican,Representative,Michael T. McCaul,Michael McCaul
ConawayTX11,TX,Republican,Representative,K. Michael Conaway,Mike Conaway
RepKayGranger,TX,Republican,Representative,Kay Granger,Rep. Kay Granger
MacTXPress,TX,Republican,Representative,Mac Thornberry,Mac Thornberry Press
TXRandy14,TX,Republican,Representative,Randy Weber,Randy Weber
RepGonzalez,TX,Democrat,Representative,Vincente Gonzalez,Rep. Vicente Gonzalez
RepEscobar,TX,Democrat,Representative,Veronica Escobar,Rep. Veronica Escobar
RepBillFlores,TX,Republican,Representative,Bill Flores,U.S. Representative Bill Flores
JacksonLeeTX18,TX,Democrat,Representative,Sheila Jackson Lee,Sheila Jackson Lee
JodeyArrington,TX,Republican,Representative,Jodey Arrington,Jodey Arrington
JoaquinCastrotx,TX,Democrat,Representative,Joaquin Castro,Joaquin Castro
RepChipRoy,TX,Republican,Representative,Chip Roy,Rep. Chip Roy
PeteOlson,TX,Republican,Representative,Pete Olson,Pete Olson
HurdOnTheHill,TX,Republican,Representative,Will Hurd,Rep. Will Hurd
RepKenMarchant,TX,Republican,Representative,Kenny Marchant,Kenny Marchant
RepRWilliams,TX,Republican,Representative,Roger Williams,Rep. Roger Williams
michaelcburgess,TX,Republican,Representative,Michael Burgess,"Michael Burgess, MD"
RepCloudTX,TX,Republican,Representative,Michael Cloud,Congressman Michael Cloud
RepCuellar,TX,Democrat,Representative,Henry Cuellar,Rep. Henry Cuellar
RepSylviaGarcia,TX,Democrat,Representative,Sylvia Garcia,Rep. Sylvia Garcia
RepEBJ,TX,Democrat,Representative,Eddie Bernice Johnson,Rep. Eddie Bernice Johnson
JudgeCarter,TX,Republican,Representative,John Carter,Judge Carter
RepColinAllred,TX,Democrat,Representative,Colin Allred,Rep. Colin Allred
RepVeasey,TX,Democrat,Representative,Marc Veasey,Rep. Marc Veasey
RepFilemonVela,TX,Democrat,Representative,Filemon Vela,US Rep. Filemon Vela
RepLloydDoggett,TX,Democrat,Representative,Lloyd Doggett,Lloyd Doggett
RepBrianBabin,TX,Republican,Representative,Brian Babin,Brian Babin
SenMikeLee,UT,Republican,Senator,Mike Lee,Mike Lee
SenatorRomney,UT,Republican,Senator,Mitt Romney,Senator Mitt Romney
RepHalRogers,UT,Republican,Representative,Rob Bishop,Hal Rogers
RepChrisStewart,UT,Republican,Representative,Chris Stewart,Rep. Chris Stewart
RepJohnCurtis,UT,Republican,Representative,John R. Curtis,Rep. John Curtis
RepBenMcAdams,UT,Democrat,Representative,Ben McAdams,Rep. Ben McAdams
SenSanders,VT,Independent,Senator,Bernie Sanders,Bernie Sanders
PeterWelch,VT,Democrat,Representative,Peter Welch,Rep. Peter Welch
MarkWarner,VA,Democrat,Senator,Mark Warner,Mark Warner
timkaine,VA,Democrat,Senator,Tim Kaine,Tim Kaine
RobWittman,VA,Republican,Representative,Robert J. Wittman,Rep. Rob Wittman
RepElaineLuria,VA,Democrat,Representative,Elaine Luria,Rep. Elaine Luria
BobbyScott,VA,Democrat,Representative,Robert C. Scott,Rep. Bobby Scott
Donald_McEachin,VA,Democrat,Representative,Donald McEacchin,Donald McEachin
RepRiggleman,VA,Republican,Representative,Denver Riggleman,Congressman Denver Riggleman
RepBenCline,VA,Republican,Representative,Ben Cline,Congressman Ben Cline
RepSpanberger,VA,Democrat,Representative,Abigail Spanberger,Rep. Abigail Spanberger
RepDonBeyer,VA,Democrat,Representative,Don Beyer,Rep. Don Beyer
RepMGriffith,VA,Republican,Representative,Morgan Griffith,Morgan Griffith
RepWexton,VA,Democrat,Representative,Jennifer Wexton,Rep. Jennifer Wexton
GerryConnolly,VA,Democrat,Representative,Gerald E. “Gerry” Connolly,Rep. Gerry Connolly
StaceyPlaskett,VI,Democrat,Representative,Stacey Plaskett,Rep. Stacey Plaskett
PattyMurray,WA,Democrat,Senator,Patty Murray,Senator Patty Murray
SenatorCantwell,WA,Democrat,Senator,Maria Cantwell,Sen. Maria Cantwell
RepDelBene,WA,Democrat,Representative,Suzan DelBene,Rep. Suzan DelBene
RepRickLarsen,WA,Democrat,Representative,Rick Larsen,Rep. Rick Larsen
HerreraBeutler,WA,Republican,Representative,Jaime Herrera Beutler,Jaime Herrera Beutler
RepNewhouse,WA,Republican,Representative,Dan Newhouse,Rep. Dan Newhouse
cathymcmorris,WA,Republican,Representative,Cathy McMorris Rodgers,CathyMcMorrisRodgers
RepDerekKilmer,WA,Democrat,Representative,Derek Kilmer,Rep. Derek Kilmer
PramilaJayapal,WA,Democrat,Representative,Pramila Jayapal,Pramila Jayapal
RepKimSchrier,WA,Democrat,Representative,Kim Schrier,Rep. Kim Schrier
RepAdamSmith,WA,Democrat,Representative,Adam Smith,Rep. Adam Smith
RepDennyHeck,WA,Democrat,Representative,Denny Heck,Denny Heck
Sen_JoeManchin,WV,Democrat,Senator,Joe Manchin,Senator Joe Manchin
SenCapito,WV,Republican,Senator,Shelley Moore Capito,Shelley Moore Capito
RepMcKinley,WV,Republican,Representative,David McKinley,David B. McKinley
RepAlexMooney,WV,Republican,Representative,Alex Mooney,Rep. Alex Mooney
RepCarolMiller,WV,Republican,Representative,Carol Miller,Carol Miller
SenRonJohnson,WI,Republican,Senator,Ron Johnson,Senator Ron Johnson
SenatorBaldwin,WI,Democrat,Senator,Tammy Baldwin,Sen. Tammy Baldwin
RepBryanSteil,WI,Republican,Representative,Bryan Steil,Bryan Steil
repmarkpocan,WI,Democrat,Representative,Mark Pocan,Rep. Mark Pocan
RepRonKind,WI,Democrat,Representative,Ron Kind,Rep. Ron Kind
RepGwenMoore,WI,Democrat,Representative,Gwen Moore,Rep. Gwen Moore
JimPressOffice,WI,Republican,Representative,F. James Sensenbrenner,Sensenbrenner Press
RepGrothman,WI,Republican,Representative,Glenn Grothman,Rep. Glenn Grothman
TomTiffanyWI,WI,Republican,Representative,Thomas Tiffany,Tom Tiffany
MikeforWI,WI,Republican,Representative,Mike Gallagher,Mike Gallagher
SenatorEnzi,WY,Republican,Senator,Mike Enzi,Mike Enzi
SenJohnBarrasso,WY,Republican,Senator,John Barrasso,Sen. John Barrasso
Liz_Cheney,WY,Republican,Representative,Liz Cheney,Liz Cheney
realDonaldTrump,,Republican,POTUS,Donald J. Trump,Donald J. Trump
